,week_number,death_yn,cdc_case_earliest_dt,cdc_report_dt,year,month,year_month,week_range
266,2022-07-19,No,2022-07-19,155920,2022,7,2022-07,2022-07-19 to 2022-07-25
267,2022-07-19,Yes,2022-07-19,2491,2022,7,2022-07,2022-07-19 to 2022-07-25
268,2022-07-26,No,2022-07-26,160533,2022,7,2022-07,2022-07-26 to 2022-08-01
269,2022-07-26,Yes,2022-07-26,2307,2022,7,2022-07,2022-07-26 to 2022-08-01
270,2022-08-02,No,2022-08-02,163284,2022,8,2022-08,2022-08-02 to 2022-08-08
271,2022-08-02,Yes,2022-08-02,2288,2022,8,2022-08,2022-08-02 to 2022-08-08
272,2022-08-09,No,2022-08-09,125191,2022,8,2022-08,2022-08-09 to 2022-08-15
273,2022-08-09,Yes,2022-08-09,2146,2022,8,2022-08,2022-08-09 to 2022-08-15
274,2022-08-16,No,2022-08-16,116521,2022,8,2022-08,2022-08-16 to 2022-08-22
275,2022-08-16,Yes,2022-08-16,1923,2022,8,2022-08,2022-08-16 to 2022-08-22
276,2022-08-23,No,2022-08-23,107134,2022,8,2022-08,2022-08-23 to 2022-08-29
277,2022-08-23,Yes,2022-08-23,1820,2022,8,2022-08,2022-08-23 to 2022-08-29
278,2022-08-30,No,2022-08-30,105100,2022,8,2022-08,2022-08-30 to 2022-09-05
279,2022-08-30,Yes,2022-08-30,1651,2022,8,2022-08,2022-08-30 to 2022-09-05
280,2022-09-06,No,2022-09-06,105449,2022,9,2022-09,2022-09-06 to 2022-09-12
281,2022-09-06,Yes,2022-09-06,1660,2022,9,2022-09,2022-09-06 to 2022-09-12
282,2022-09-13,No,2022-09-13,88944,2022,9,2022-09,2022-09-13 to 2022-09-19
283,2022-09-13,Yes,2022-09-13,1523,2022,9,2022-09,2022-09-13 to 2022-09-19
284,2022-09-20,No,2022-09-20,78709,2022,9,2022-09,2022-09-20 to 2022-09-26
